,id,nombre,votos,periodo,partido,bancada,dist_electoral,condicion,website
122,1062,Cheryl Trigozo Reátegui,"16,574",Parlamentario 2021 - 2026,Alianza para el Progreso,RENOVACIÓN POPULAR,San martin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/CherylTrigozo/
123,1036,Adriana Josefina Tudela Gutiérrez,"47,139",Parlamentario 2021 - 2026,Avanza País - Partido de Integración Social,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AdrianaTudela/
124,1123,Jhakeline Katy Ugarte Mamani,"12,700",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Cusco,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JhakelineUgarte/
125,1106,Héctor Valer Pinto,"20,948",Parlamentario 2021 - 2026,Renovación Popular,SOMOS PERÚ,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/HectorValer/
126,1080,Elías Marcial Varas Meléndez,"6,328",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,JUNTOS POR EL PERÚ - VOCES DEL PUEBLO,Ancash,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/EliasVaras/
127,1076,Lucinda Vásquez Vela,"8,778",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,San martin,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/LucindaVasquez/
128,1105,Héctor José Ventura Angel,"3,361",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Tumbes,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/HectorVentura/
129,1084,Elvis Hernán Vergara Mendoza,"4,486",Parlamentario 2021 - 2026,Acción Popular,ACCION POPULAR,Ucayali,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/ElvisVergara/
130,1043,José Daniel Williams Zapata,"44,789",Parlamentario 2021 - 2026,Avanza País - Partido de Integración Social,AVANZA PAÍS - PARTIDO DE INTEGRACIÓN SOCIAL,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JoseWilliams/
131,1086,Enrique Wong Pujada,"11,384",Parlamentario 2021 - 2026,Podemos Perú,PODEMOS PERÚ,Callao,Fallecido,https://www.congreso.gob.pe/congresistas2021/EnriqueWong/
132,1134,Norma Martina Yarrow Lumbreras,"51,103",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,LIMA,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/NormaYarrow/
133,1135,Oscar Zea Choquechambi,"34,450",Parlamentario 2021 - 2026,Partido Politico Nacional Perú Libre,BLOQUE MAGISTERIAL DE CONCERTACIÓN NACIONAL,Puno,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/OscarZea/
134,1126,Jorge Arturo Zeballos Aponte,"4,691",Parlamentario 2021 - 2026,Renovación Popular,RENOVACIÓN POPULAR,Peruanos Residentes en el Extranjero,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/JorgeZeballos/
135,1058,Carlos Javier Zeballos Madariaga,"23,883",Parlamentario 2021 - 2026,Acción Popular,BLOQUE DEMOCRÁTICO POPULAR,Puno,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/CarlosZeballos/
136,1169,Ana Zadith Zegarra Saboya,"4,917",Parlamentario 2021 - 2026,Partido Democrático Somos Perú,SOMOS PERÚ,Loreto,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/AnaZegarra/
137,1064,Cruz María Zeta Chunga,"10,079",Parlamentario 2021 - 2026,Fuerza Popular,FUERZA POPULAR,Piura,en Ejercicio,https://www.congreso.gob.pe/congresistas2021/CruzZeta/
